tenderid,tenderrefno,title,description,groupid,procurement_amount_pacamt,tendercurrency,bidcurrency,createdate_iso,updatedate_iso,publishdate_iso,issuing_authority_name,issuing_authority_designation,issuing_organization_name,issuing_organization_code,issuing_address,issuing_email,issuing_contact_no,approving_authority_name,approving_authority_designation,approving_organization_name,approving_organization_code,emd_amount,tender_fee_amount,tender_processing_fee_amount
18397,31/BCD/MUNGER/2021-22,"FURNITURE WORK FOR GOVERNMENT ENGINEERING COLLEGE, MUNGER FOR THE YEAR 2021-22","FURNITURE WORK FOR GOVERNMENT ENGINEERING COLLEGE, MUNGER FOR THE YEAR 2021-22",2462,51024760.0,INR,INR,2022-01-22T07:21:15.778000+00:00,2022-02-27T08:25:14+00:00,2022-02-01T09:48:28+00:00,"EE , Munger",EE,"BCD, Munger","EE, Munger Division",Fort Area munger,ee.munger.bcd@gmail.com,9113192054,Superintending Engineer Building Circle Munger,Superintending Engineer,Building Construction Department,Superintending Engineer Building Circle Munger,1020500,10000,5900
18398,BSMCL-08/2021-22/VAISHALI/CLUSTER-03,"EC Approved Sand Ghat of VAISHALI (Cluster-03) 
RAM CHOURA :( MINEABLE QUANTITY- 1887180 CFT).","EC Approved Sand Ghat of VAISHALI (Cluster-03) 
RAM CHOURA :( MINEABLE QUANTITY- 1887180 CFT).",2598,8049273.0,INR,INR,2022-01-22T07:22:47.275000+00:00,2022-01-30T07:31:00+00:00,2022-01-22T08:52:19+00:00,NIDHI BHARTI,M.D.O,BIHAR STATE MINING CORPORATION LTD,N/A,VIKASH BHAWAN PATNA,BHARRTI@GMAIL.COM,9852903038,NIDHI BHARTI,M.D.O,BIHAR STATE MINING CORPORATION LTD,N/A,2012319,29500,3540
18399,BSMCL-08/2021-22/VAISHALI/CLUSTER-04,"EC Approved Sand Ghat of VAISHALI (Cluster-04) 
HARAULI SAND GHAT, CHANDRALAY SAND GHAT, RAMBAG SAND GHAT :( MINEABLE QUANTITY- 2340900 CFT).","EC Approved Sand Ghat of VAISHALI (Cluster-04) 
HARAULI SAND GHAT, CHANDRALAY SAND GHAT, RAMBAG SAND GHAT :( MINEABLE QUANTITY- 2340900 CFT).",2598,11751939.0,INR,INR,2022-01-22T07:40:30.789000+00:00,2022-01-30T07:31:00+00:00,2022-01-22T08:53:38+00:00,NIDHI BHARTI,M.D.O,BIHAR STATE MINING CORPORATION LTD,N/A,VIKASH BHAWAN PATNA,BHARRTI@GMAIL.COM,9852903038,NIDHI BHARTI,M.D.O,BIHAR STATE MINING CORPORATION LTD,N/A,2937984,29500,3540
18400,BSMCL-08/2021-22/BANKA/CLUSTER-02,"EC APPROVED SANDGHATS OF BANKA (CLUSTER-02)
PATWE BHOWRWA (MAJHAYARA), BISHANPUR GHAT, MAJHYARA ARAZI, MALDAUN GHAT (MINEABLE QUANTITY -9300056 CFT).","EC APPROVED SANDGHATS OF BANKA (CLUSTER-02)
PATWE BHOWRWA (MAJHAYARA), BISHANPUR GHAT, MAJHYARA ARAZI, MALDAUN GHAT (MINEABLE QUANTITY -9300056 CFT).",2598,75320669.0,INR,INR,2022-01-22T08:18:32.137000+00:00,2022-01-30T07:31:00+00:00,2022-01-22T10:44:50+00:00,ANIL KUMAR,MDO,Bihar State Mining Corporation Limited,BSMCL,"VIKASH BHAWAN, PATNA",bih.minescorp@gmail.com,9386768129,ANIL KUMAR,MDO,Bihar State Mining Corporation Limited,BSMCL,18830167,29500,5900
18401,"01/2021-22 MID, Nalanda",Renovation of Ghosrawan Pond  Scheme,Renovation of Ghosrawan Pond  Scheme,2462,4831400.0,INR,INR,2022-01-22T08:37:23.974000+00:00,2022-02-17T09:13:47+00:00,2022-01-22T09:04:03+00:00,Er. RAJENDRA KUMAR,EXECUTIVE ENGINEER,"MINOR IRRIGATION DIVISION, PATNA (MWRD)",000000,"JAL BHAWAN, RIDING ROAD, SHEKHPURA, PATNA- 800014",eepat-mi-bih@nic.in,9199424770,"ER. RAJENDRA KUMAR, SE PATNA",SUPERINTENDENT ENGINEER,"MINOR IRRIGATION CIRCLE, PATNA",MWRD BIHAR,48400,5000,590
18402,BSMCL-08/2021-22/BANKA/CLUSTER-03,"EC APPROVED SANDGHATS OF BANKA (CLUSTER-03)
SAIJPUR GHAT NEAR WOMAN COLLEGE, MAJHONI, BAISA & RAJPUR/KAKNA (MINEABLE QUANTITY -17541156.25 CFT).","EC APPROVED SANDGHATS OF BANKA (CLUSTER-03)
SAIJPUR GHAT NEAR WOMAN COLLEGE, MAJHONI, BAISA & RAJPUR/KAKNA (MINEABLE QUANTITY -17541156.25 CFT).",2598,153575909.0,INR,INR,2022-01-22T08:44:02.220000+00:00,2022-01-30T07:31:00+00:00,2022-01-22T10:46:06+00:00,ANIL KUMAR,MDO,Bihar State Mining Corporation Limited,BSMCL,"VIKASH BHAWAN, PATNA",bih.minescorp@gmail.com,9386768129,ANIL KUMAR,MDO,Bihar State Mining Corporation Limited,BSMCL,38393977,29500,5900
18403,BSMCL-08/2021-22/BANKA/CLUSTER-06,"EC APPROVED SANDGHATS OF BANKA (CLUSTER-06)
MANJHILI DEOGHAR ROAD, BHAGHAUNIA GHAT, KUMARSAR GHAT, SAHODA GHAT & MANJHLI DEOGHAR ROAD (MINEABLE QUANTITY -3297181.25 CFT).","EC APPROVED SANDGHATS OF BANKA (CLUSTER-06)
MANJHILI DEOGHAR ROAD, BHAGHAUNIA GHAT, KUMARSAR GHAT, SAHODA GHAT & MANJHLI DEOGHAR ROAD (MINEABLE QUANTITY -3297181.25 CFT).",2598,34823582.0,INR,INR,2022-01-22T08:51:10.393000+00:00,2022-01-30T07:31:00+00:00,2022-01-22T10:47:38+00:00,ANIL KUMAR,MDO,Bihar State Mining Corporation Limited,BSMCL,"VIKASH BHAWAN, PATNA",bih.minescorp@gmail.com,9386768129,ANIL KUMAR,MDO,Bihar State Mining Corporation Limited,BSMCL,8705895,29500,5900
18404,BSMCL-08/2021-22/BANKA/CLUSTER-07,"EC APPROVED SANDGHATS OF BANKA (CLUSTER-07)
JITARPUR, GODIYA, SARAM & GODIYA & KUNANI AND JOGI PAHARI (MINEABLE QUANTITY -10453681.25 CFT).","EC APPROVED SANDGHATS OF BANKA (CLUSTER-07)
JITARPUR, GODIYA, SARAM & GODIYA & KUNANI AND JOGI PAHARI (MINEABLE QUANTITY -10453681.25 CFT).",2598,83733107.0,INR,INR,2022-01-22T08:58:46.247000+00:00,2022-01-30T07:31:00+00:00,2022-01-22T10:48:30+00:00,ANIL KUMAR,MDO,Bihar State Mining Corporation Limited,BSMCL,"VIKASH BHAWAN, PATNA",bih.minescorp@gmail.com,9386768129,ANIL KUMAR,MDO,Bihar State Mining Corporation Limited,BSMCL,20933277,29500,5900
18405,BSMCL-08/2021-22/BETTIHA/CLUSTER-02,"EC APPROVED SANDGHATS OF BETTIHA (CLUSTER-02)
BAIRIA GHAT & BELWA BAHUWARI GHAT (MINEABLE QUANTITY -171816.3 CFT).","EC APPROVED SANDGHATS OF BETTIHA (CLUSTER-02)
BAIRIA GHAT & BELWA BAHUWARI GHAT (MINEABLE QUANTITY -171816.3 CFT).",2598,6782356.0,INR,INR,2022-01-22T09:10:22.159000+00:00,2022-01-30T07:31:00+00:00,2022-01-22T10:37:56+00:00,ANIL KUMAR,MDO,Bihar State Mining Corporation Limited,BSMCL,"VIKASH BHAWAN, PATNA",bih.minescorp@gmail.com,9386768129,ANIL KUMAR,MDO,Bihar State Mining Corporation Limited,BSMCL,1695589,29500,590
18406,BSMCL-08/2021-22/BETTIHA/CLUSTER-04,"EC APPROVED SANDGHATS OF BETTIHA (CLUSTER-04)
BAIJUA ALPHA GHAT, DUMAULIA NARAYANPUR GHAT, SAURAHA GHAT, DHANAHA BALU GHAT & PARSUNI GHAT (MINEABLE QUANTITY -1182471.25 CFT).","EC APPROVED SANDGHATS OF BETTIHA (CLUSTER-04)
BAIJUA ALPHA GHAT, DUMAULIA NARAYANPUR GHAT, SAURAHA GHAT, DHANAHA BALU GHAT & PARSUNI GHAT (MINEABLE QUANTITY -1182471.25 CFT).",2598,24018252.0,INR,INR,2022-01-22T09:18:02.922000+00:00,2022-01-30T07:31:00+00:00,2022-01-22T10:39:10+00:00,ANIL KUMAR,MDO,Bihar State Mining Corporation Limited,BSMCL,"VIKASH BHAWAN, PATNA",bih.minescorp@gmail.com,9386768129,ANIL KUMAR,MDO,Bihar State Mining Corporation Limited,BSMCL,6004563,29500,3540
